id,title,artist_name,genre,year,language,path
oestr070,"Der schwatzhafte Junggeselle Es waren mal drei Gesellen, -sellen,",Unknown,folk,1941,German,folkKern/oesterrh/oestr070.krn
oestr097,"Andreas - Hofer - Lied Ach Himml, es ist verspielt,",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr097.krn
oestr065,"Graf und Nonne (Die Nonne) Stand ich auf hohen Felsen,",Unknown,folk,1941,German,folkKern/oesterrh/oestr065.krn
oestr069,"Die Brombeerpflueckerin Es wollt ein Maderl fruah aufstehn,",Unknown,folk,1912,German,folkKern/oesterrh/oestr069.krn
oestr094,MEI SCHATZERL IS GWANDERT,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr094.krn
oestr042,"""Die Beruhigte"" WANN I HALT FRUA AUFSTEH",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr042.krn
oestr015,DA DROBEN AUFM BERGEL,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr015.krn
oestr085,AF AF EHS HIAERTN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr085.krn
oestr088,DORT WO DIE SCHNEEBERG STOLZ,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr088.krn
oestr040,"""Liebesstolz"" HALB UND HALB HAST MI GERN",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr040.krn
oestr090,ALLDORT AUF GRUENEN MATTEN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr090.krn
oestr051,"""Die Nachtigall"" SITZT A SCHOENS VOEGERL AUF'M DANNABAUM",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr051.krn
oestr030,"""Der Knab auf dem Berge"" DORT OBN AUFM BERGERL",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr030.krn
oestr047,"""Bitte und Gewaehrung"" DU HEARZIG SCHOENS SCHATZERL",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr047.krn
oestr035,"""Die Kirchweihe"" AM SUNDA IS KIRTA",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr035.krn
oestr025,"""Luftschloesser"" WENN ICH MAL GROSS BIN",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr025.krn
oestr046,"""Liebe ueber alles"" VOM WALD BIN I FIARA",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr046.krn
oestr093,ZUM HAHN SAGT DIE TAUBA,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr093.krn
oestr075,"Die scheintote Braut Wer Wunderding will hoeren an,",Unknown,folk,1819,German,folkKern/oesterrh/oestr075.krn
oestr003,UND WAS THUAT DENN DER JAEGERBUA,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr003.krn
oestr011,WANN I HALD FRUA AFSTEH,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr011.krn
oestr066,Graf und Nonne (Die Nonne) Ach was soll denn schoener sein,Unknown,folk,1929,German,folkKern/oesterrh/oestr066.krn
oestr053,"""Entschuldigung"" 'N MONTAG HAT'S G'REGNET",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr053.krn
oestr087,"Das Bauerntoechterlein Da Bauer hat ein Toechterlein,",Unknown,folk,1886,German,folkKern/oesterrh/oestr087.krn
oestr095,WONI GEH UND STEH,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr095.krn
oestr077,"Die verunglueckte Muellerstochter Mueller Meister, tut ansehen,",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr077.krn
oestr101,Der Tannhaeuser Es wollt ein Suender reisen,Unknown,folk,1920,German,folkKern/oesterrh/oestr101.krn
oestr009,AUF AUF IHR KRIEGER,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr009.krn
oestr013,WIE D WOLKEN AM HIMMEL,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr013.krn
oestr102,"Frau von Weissenburg Graf Friedrich taet' ausreiten,",Unknown,folk,1914,German,folkKern/oesterrh/oestr102.krn
oestr083,Wiedersehen an der Bahre Ein Bursch' wollt' in die Fremde ziehn,Unknown,folk,1930,German,folkKern/oesterrh/oestr083.krn
oestr008,DORT BEIM SEE DA DRUNT,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr008.krn
oestr031,ES WAR EIN ZARTES JUNGFRAEUELEIN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr031.krn
oestr010,TYROLER LASST UNS STREITEN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr010.krn
oestr007,ES WOLLT EIN MAEDL WOL FRUEH AUFSTEHN,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr007.krn
oestr057,"""Die schoene Joppe"" DA BAUA VAKAUFT SEINN AKR",Unknown,folk,Unknown,German,folkKern/oesterrh/oestr057.krn
oestr026,SITZT A SCHENS VEGERL,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr026.krn
oestr006,A DIARNDL GEHT UM HOLZ IN WALD,Unknown,folk,Unknown,German,folkKern/oesterrh/oestr006.krn
