id,title,artist_name,genres,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
10162,Purka,Misc Traditional,folk,,,/mxl/2/38/QmcqytKu4CJf27sXMPN9F4D8ydpiswTG3mSAhLSJrzB8do.mxl,Danish,1.225,49.0,40.0,0.78125,0.42274216432714634,34.17568542568542,3.125,25.0,0.5102040816326531
10163,Ou Kitté Mwé,Misc Traditional,folk,,,/mxl/2/20/QmcFV5V3WQnJDPQfjgRAzMvR3r4JGT78yox3fTASkYAufi.mxl,French,1.94,194.0,100.0,0.5064766839378239,0.4462242526502261,19.415177516965723,1.7927461139896372,65.0,0.33505154639175255
10164,deep water,American Authors,rock,,,/mxl/2/51/QmcWntpfpbEqB93brGsVYHBb8guG2DdRejACwhaWhAx59X.mxl,English,1.1145833333333333,428.0,384.0,0.8512880562060892,1.1604059879017332,25.29939901368474,2.0269320843091325,111.0,0.25934579439252337
10165,Amantoj de l' Sinjor' (Ni marÅas al Cion),Misc Traditional,folk,,,/mxl/2/37/QmcPZ2nFkW7BxE4rdBQt4vEVDdLZtoPVwB2NpcZBNpTriU.mxl,No Lyrics,0.15873015873015872,10.0,63.0,0.6896551724137931,0.2652409369934329,17.968955538016317,1.367816091954023,8.0,0.8
10166,Sing of a Blessing: Calls,Misc Traditional,folk,,,/mxl/2/26/QmcjWkgcyrWvQ18xh49zme4uwXj5iZ8zhFZSLqHKZvEmfW.mxl,English,0.85,34.0,40.0,1.121212121212121,1.652730995317562,33.362193362193366,2.727272727272727,21.0,0.6176470588235294
10167,Hob & Cobin Yule Is Come,Misc Traditional,folk,,,/mxl/2/26/QmcjFRScNLBwcQgLFBezdQ4eSDLdGKiam6tKZJpPZad7S6.mxl,English,0.9583333333333334,46.0,48.0,1.0222222222222221,0.5050363634383782,30.157068062827197,5.111111111111111,23.0,0.5
10168,Bright Angel Hosts Are Heard On High,Misc Traditional,folk,,,/mxl/2/3/Qmc4P49bESsv8Yk8kZJyToK6TKCFhzTxvkcJx4GhoyqWhJ.mxl,English,0.8166666666666667,49.0,60.0,1.1666666666666667,0.5713045500334205,29.235046184198694,6.875,20.0,0.40816326530612246
10169,death of a bachelor,Panic! At the Disco,rock,,,/mxl/2/3/Qmc4mXigZkQKUPUat7W2S8A4NH8aG4xdjX8kMwyz6UTqnE.mxl,English,1.0647668393782384,411.0,386.0,0.872146118721461,0.7523625302500848,28.03769649000765,3.8261035007610324,166.0,0.40389294403892945
10170,Itlan Hewi Soprano 1 (solo playback),Misc Traditional,folk,,,/mxl/2/22/QmcGo719Ag4nWJXkArmSoHffzbGQ9opLt77QcyPP4JXXde.mxl,Welsh,1.2404580152671756,325.0,262.0,0.7129629629629629,0.5707790743489788,29.09028149717607,6.263888888888888,116.0,0.3569230769230769
10171,Bell Qui Pavane,Misc Traditional,folk,,,/mxl/2/23/Qmchn4ppd6tm6xU1bp4UPeRzAszD3Kir5HjFmP3bBPBpfs.mxl,English,0.8125,26.0,32.0,1.2,0.46904157598234303,43.73333333333333,6.0,15.0,0.5769230769230769
10172,Afton Water,Misc Traditional,folk,,,/mxl/2/24/QmcHbLxX2aCgSV4oSthKPbsoGgr3XAKe3r8kxMiRFDiaRj.mxl,English,1.3333333333333333,64.0,48.0,0.7301587301587301,0.34301877436467154,22.828282828282834,3.6507936507936507,28.0,0.4375
10173,Renfro Valley - 111,Misc Traditional,folk,,,/mxl/2/24/QmcHteJDtAk4gnEo2wsVsvYH2mXEVNJfkCv5vv8xH6tyNM.mxl,English,0.578125,74.0,128.0,1.4761904761904763,1.179953494606083,39.647749510763205,2.9523809523809526,37.0,0.5
10174,savez-vous planter les choux,Misc Traditional,folk,,,/mxl/2/15/QmcdXFmqX9FaqAw11e1LY1aFn31YcFEkUwg8Hhwqs1AyEN.mxl,French,1.8125,29.0,16.0,0.5357142857142857,0.12876968840942815,9.523809523809522,,11.0,0.3793103448275862
10175,Carnevale di Venezia,Misc Traditional,folk,,,/mxl/2/15/QmcdcmTm74ZbFDPcvuBaoG1BH6tRj2Wic3CySa8izAZpD9.mxl,Italian,0.7083333333333334,102.0,144.0,1.2456140350877194,0.7201535351499581,20.5940594059406,3.7368421052631584,35.0,0.3431372549019608
