id,title,common_name,genre,year,language,path,language,rhythmic_density,num_notes,total_duration,avg_ioi,stdev_ioi,nPVI,periodicity,lz_complexity,norm_lz_complexity
535,Beautiful Dreamer,Stephen Foster,"Folk, World, & Country",1845.0,English,dataset/Stephen_Foster/Beautiful_Dreamer/Beautiful_Dreamer.mxl,English,0.5648148148148148,61,108.0,1.4189189189189189,1.102904724472471,26.77777777777778,5.675675675675675,23,0.3770491803278688
541,Angels from the Realms of Glory,James Montgomery [1],Rock,1812.0,English,dataset/James_Montgomery_[1]/Angels_from_the_Realms_of_Glory/Angels_from_the_Realms_of_Glory.mxl,English,0.9583333333333334,92,96.0,0.8103448275862069,0.5400158539091667,20.952380952380953,2.4310344827586206,37,0.40217391304347827
549,Japanese Sandman,Richard A. Whiting,Pop,1920.0,English,dataset/Raymond_B._Egan-Richard_A._Whiting/Japanese_Sandman/Japanese_Sandman.mxl,English,1.2364864864864864,183,148.0,0.6682242990654206,0.5401796397013435,34.114774114774086,1.3224299065420562,56,0.30601092896174864
558,À la claire fontaine,[Traditional],Rock,,French,dataset/[Traditional]/À_la_claire_fontaine/À_la_claire_fontaine.mxl,French,1.7083333333333333,82,48.0,0.42342342342342343,0.32325901113530026,18.930041152263364,0.8468468468468469,30,0.36585365853658536
561,"Pack Up Your Troubles in Your Old Kit Bag and Smile, Smile, Smile!",Felix Powell,"Folk, World, & Country",1910.0,English,"dataset/Felix_Powell-George_Henry_Powell/Pack_Up_Your_Troubles_in_Your_Old_Kit_Bag_and_Smile,_Smile,_Smile!/Pack_Up_Your_Troubles_in_Your_Old_Kit_Bag_and_Smile,_Smile,_Smile!.mxl",English,0.890625,57,64.0,0.821917808219178,0.7954057421306276,48.860544217687085,1.5890410958904109,29,0.5087719298245614
587,By the Light of the Silvery Moon,Gus Edwards,Rock,1909.0,English,dataset/Edward_Madden-Gus_Edwards/By_the_Light_of_the_Silvery_Moon/By_the_Light_of_the_Silvery_Moon.mxl,English,0.7837837837837838,116,148.0,0.8103448275862069,1.0633426457371862,47.0724637681159,1.5862068965517242,45,0.3879310344827586
621,Anniversary Waltz,Al Dubin,Rock,1918.0,English,dataset/Al_Dubin-Dave_Franklin/Anniversary_Waltz/Anniversary_Waltz.mxl,English,0.7266666666666667,109,150.0,0.91875,0.8676251710848412,26.45502645502645,1.81875,50,0.45871559633027525
675,Scarborough Fair,[Traditional],"Folk, World, & Country",,English,dataset/[Traditional]/Scarborough_Fair/Scarborough_Fair.mxl,English,0.7171717171717171,71,99.0,0.9696969696969697,0.803459005064415,22.38095238095238,2.909090909090909,30,0.4225352112676056
695,Nobody Knows You When You're down and Out,Jimmie Cox,Rock,1903.0,English,dataset/Jimmie_Cox/Nobody_Knows_You_When_You're_down_and_Out/Nobody_Knows_You_When_You're_down_and_Out.mxl,English,1.338235294117647,182,136.0,0.5569620253164558,0.522278678722863,26.739215357999868,2.0562587904360057,71,0.3901098901098901
697,"Ma, He's Making Eyes at Me",Con Conrad,Pop,1921.0,English,"dataset/Con_Conrad-Sidney_Clare/Ma,_He's_Making_Eyes_at_Me/Ma,_He's_Making_Eyes_at_Me.mxl",English,0.6015625,77,128.0,1.24,1.1499565209172031,31.754385964912284,2.48,31,0.4025974025974026
726,Kiss Me Again,Victor Herbert,Pop,1905.0,English,dataset/Henry_Blossom-Victor_Herbert/Kiss_Me_Again/Kiss_Me_Again.mxl,English,0.6666666666666666,76,114.0,1.0673076923076923,1.0001386738167388,47.42857142857141,2.1346153846153846,33,0.4342105263157895
744,Chinatown My Chinatown,William Jerome,Pop,1914.0,English,dataset/Jean_Schwartz-William_Jerome/Chinatown_My_Chinatown/Chinatown_My_Chinatown.mxl,English,0.4453125,57,128.0,1.7222222222222223,1.2272623352430292,25.833333333333325,5.0,25,0.43859649122807015
750,Missouri Waltz,John V. Eppel,Rock,,English,dataset/Frederic_Knight_Logan-James_Royce_Shannon-John_V._Eppel/Missouri_Waltz/Missouri_Waltz.mxl,English,0.9479166666666666,91,96.0,0.8532110091743119,0.7760838892681323,13.07936507936508,1.7064220183486238,40,0.43956043956043955
767,Carioca,Vincent Youmans,Pop,1933.0,English,dataset/Edward_Eliscu-Gus_Kahn-Vincent_Youmans/Carioca/Carioca.mxl,English,0.946969696969697,125,132.0,0.8951048951048951,0.9402669366057387,31.409952055113337,2.486013986013986,49,0.392
771,Fascinating Rhythm,George Gershwin,Pop,1924.0,English,dataset/George_Gershwin-Ira_Gershwin/Fascinating_Rhythm/Fascinating_Rhythm.mxl,English,1.1875,152,128.0,0.5849056603773585,0.6728273844109237,28.769052875013116,1.0613207547169812,40,0.2631578947368421
773,Moonlight and Roses,Charles N. Daniels,Pop,1925.0,English,dataset/Ben_Black-Charles_N._Daniels/Moonlight_and_Roses/Moonlight_and_Roses.mxl,English,0.4453125,57,128.0,1.8235294117647058,1.2595654767861089,22.023809523809526,3.6176470588235294,28,0.49122807017543857
797,Hard Times Come Again No More,Stephen Foster,"Folk, World, & Country",1845.0,English,dataset/Stephen_Foster/Hard_Times_Come_Again_No_More/Hard_Times_Come_Again_No_More.mxl,English,1.2058823529411764,82,68.0,0.5922330097087378,0.531747315782974,39.45914168136392,1.674757281553398,38,0.4634146341463415
799,Till We Meet Again,Richard A. Whiting,Pop,1914.0,English,dataset/Raymond_B._Egan-Richard_A._Whiting/Till_We_Meet_Again/Till_We_Meet_Again.mxl,English,0.7218543046357616,109,151.0,1.064748201438849,0.9229966296385396,25.162964607409055,2.0863309352517985,52,0.47706422018348627
803,Jingle Bells,James Pierpont,Pop,1857.0,English,dataset/James_Pierpont/Jingle_Bells/Jingle_Bells.mxl,English,0.803030303030303,106,132.0,0.9770992366412213,0.730634450375667,24.154195011337865,1.8473282442748091,42,0.39622641509433965
806,My Wild Irish Rose,Chauncey Olcott,Pop,1899.0,English,dataset/Chauncey_Olcott/My_Wild_Irish_Rose/My_Wild_Irish_Rose.mxl,English,0.7711442786069652,155,201.0,0.9611650485436893,0.8322659453725948,36.06060606060601,3.6116504854368934,57,0.36774193548387096
820,"Nearer, My God, to Thee",Sarah Flower Adams,Rock,1826.0,English,"dataset/Eliza_Flower-Sarah_Flower_Adams/Nearer,_My_God,_to_Thee/Nearer,_My_God,_to_Thee.mxl",English,0.6875,44,64.0,0.8955223880597015,0.904125343942131,38.80398671096344,1.791044776119403,21,0.4772727272727273
834,My Buddy,Walter Donaldson,Pop,1922.0,English,dataset/Gus_Kahn-Walter_Donaldson/My_Buddy/My_Buddy.mxl,English,0.631578947368421,36,57.0,0.9,0.9073771725877467,25.14285714285714,1.7333333333333334,18,0.5
843,Peg O' My Heart,Fred Fisher,Pop,1908.0,English,dataset/Alfred_Bryan-Fred_Fisher/Peg_O'_My_Heart/Peg_O'_My_Heart.mxl,English,1.1323529411764706,77,68.0,0.6666666666666666,0.6360140634364063,36.725146198830416,1.2916666666666667,28,0.36363636363636365
851,The Prisoner's Song,[Traditional],Rock,1924.0,English,dataset/[Traditional]/The_Prisoner's_Song/The_Prisoner's_Song.mxl,English,0.6176470588235294,42,68.0,1.1481481481481481,0.9842727604383933,21.951219512195124,4.444444444444445,24,0.5714285714285714
862,Funiculì funiculà,Peppino Turco,Rock,1874.0,Italian,dataset/Luigi_Denza-Peppino_Turco/Funiculì_funiculà/Funiculì_funiculà.mxl,English,0.8950617283950617,145,162.0,0.8756906077348067,0.8618784530386742,35.178571428571395,2.9392265193370166,54,0.3724137931034483
900,I Want a Girl (Just Like the Girl That Married Dear Old Dad),Harry Von Tilzer,Pop,1911.0,English,dataset/Harry_Von_Tilzer-Will_Dillon/I_Want_a_Girl_(Just_Like_the_Girl_That_Married_Dear_Old_Dad)/I_Want_a_Girl_(Just_Like_the_Girl_That_Married_Dear_Old_Dad).mxl,English,1.2407407407407407,134,108.0,0.507177033492823,0.5256084851521402,30.72681704260649,0.9856459330143541,47,0.35074626865671643
908,Isle of Capri,Hugh Williams,Pop,1934.0,English,dataset/Hugh_Williams-Jimmy_Kennedy/Isle_of_Capri/Isle_of_Capri.mxl,English,1.1226415094339623,119,106.0,0.6891891891891891,0.666286110033571,23.37099811676083,2.527027027027027,47,0.3949579831932773
